ZIP,CARRIER,LOCALITY,STATE,RURAL
35986,10112,00,AL,R
35987,10112,00,AL,U
35988,10112,00,AL,R
35989,10112,00,AL,R
35990,10112,00,AL,U
35999,10112,00,AL,U
36003,10112,00,AL,U
36005,10112,00,AL,R
36006,10112,00,AL,U
36008,10112,00,AL,U
36009,10112,00,AL,B
36010,10112,00,AL,R
36013,10112,00,AL,U
36015,10112,00,AL,B
36016,10112,00,AL,R
36017,10112,00,AL,R
36020,10112,00,AL,U
36022,10112,00,AL,U
36023,10112,00,AL,R
36024,10112,00,AL,U
36025,10112,00,AL,U
36026,10112,00,AL,B
36027,10112,00,AL,R
36028,10112,00,AL,B
36029,10112,00,AL,B
36030,10112,00,AL,B
36031,10112,00,AL,R
36032,10112,00,AL,B
36033,10112,00,AL,B
36034,10112,00,AL,B
36035,10112,00,AL,R
36036,10112,00,AL,U
36037,10112,00,AL,B
36038,10112,00,AL,R
36039,10112,00,AL,R
36040,10112,00,AL,B
36041,10112,00,AL,B
36042,10112,00,AL,B
36043,10112,00,AL,U
36045,10112,00,AL,U
36046,10112,00,AL,U
36047,10112,00,AL,B
36048,10112,00,AL,R
36049,10112,00,AL,B
36051,10112,00,AL,U
36052,10112,00,AL,U
36053,10112,00,AL,B
36054,10112,00,AL,U
36057,10112,00,AL,U
36061,10112,00,AL,B
36062,10112,00,AL,B
36064,10112,00,AL,U
36065,10112,00,AL,U
36066,10112,00,AL,U
36067,10112,00,AL,U
36068,10112,00,AL,U
36069,10112,00,AL,U
36071,10112,00,AL,B
36072,10112,00,AL,R
36075,10112,00,AL,R
36078,10112,00,AL,R
36079,10112,00,AL,R
36080,10112,00,AL,U
36081,10112,00,AL,R
36082,10112,00,AL,R
36083,10112,00,AL,R
36087,10112,00,AL,R
36088,10112,00,AL,R
36089,10112,00,AL,B
36091,10112,00,AL,R
36092,10112,00,AL,U
36093,10112,00,AL,U
36100,10112,00,AL,U
36101,10112,00,AL,U
36102,10112,00,AL,U
36103,10112,00,AL,U
36104,10112,00,AL,U
36105,10112,00,AL,U
36106,10112,00,AL,U
36107,10112,00,AL,U
36108,10112,00,AL,U
36109,10112,00,AL,U
36110,10112,00,AL,U
36111,10112,00,AL,U
36112,10112,00,AL,U
36113,10112,00,AL,U
36114,10112,00,AL,U
36115,10112,00,AL,U
36116,10112,00,AL,U
36117,10112,00,AL,U
36118,10112,00,AL,U
36119,10112,00,AL,U
36120,10112,00,AL,U
36121,10112,00,AL,U
36123,10112,00,AL,U
36124,10112,00,AL,U
36125,10112,00,AL,U
36130,10112,00,AL,U
36131,10112,00,AL,U
36132,10112,00,AL,U
36133,10112,00,AL,U
36134,10112,00,AL,U
36135,10112,00,AL,U
36140,10112,00,AL,U
36141,10112,00,AL,U
36142,10112,00,AL,U
36177,10112,00,AL,U
36191,10112,00,AL,U
36201,10112,00,AL,U
36202,10112,00,AL,U
36203,10112,00,AL,U
36204,10112,00,AL,U
36205,10112,00,AL,U
36206,10112,00,AL,U
36207,10112,00,AL,U
36210,10112,00,AL,U
36250,10112,00,AL,U
36251,10112,00,AL,B
36253,10112,00,AL,U
36254,10112,00,AL,U
36255,10112,00,AL,B
36256,10112,00,AL,R
36257,10112,00,AL,U
36258,10112,00,AL,B
36260,10112,00,AL,U
36261,10112,00,AL,B
36262,10112,00,AL,B
36263,10112,00,AL,R
36264,10112,00,AL,B
36265,10112,00,AL,U
36266,10112,00,AL,B
36267,10112,00,AL,B
36268,10112,00,AL,R
36269,10112,00,AL,B
36270,10112,00,AL,R
36271,10112,00,AL,U
36272,10112,00,AL,U
36273,10112,00,AL,B
36274,10112,00,AL,R
36275,10112,00,AL,R
36276,10112,00,AL,R
36277,10112,00,AL,U
36278,10112,00,AL,R
36279,10112,00,AL,U
36280,10112,00,AL,R
36301,10112,00,AL,U
36302,10112,00,AL,U
36303,10112,00,AL,U
36304,10112,00,AL,U
36305,10112,00,AL,U
36310,10112,00,AL,U
36311,10112,00,AL,R
36312,10112,00,AL,U
36313,10112,00,AL,U
36314,10112,00,AL,U
36316,10112,00,AL,U
